변수명,Label
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BC1_1,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BC1_2,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BC1_3,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BC1_4,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
